Word,Wordcount
ihana,10
kirkkoon,10
puolesta,10
parakraaffi,10
varhain,10
aamun,10
kuuli,10
ma,10
varten,10
vuodattaen,10
laa,10
kesän,10
neljäkymmentä,10
kivellä,10
akka,10
joutui,9
keinolla,9
ruskea,9
molemmat,9
kontio,9
rintansa,9
äiti,9
työhön,9
useinpa,9
ehtivät,9
veljeksiä,9
siirtyivät,9
savu,9
tunsi,9
varmaan,9
rakettu,9
olleet,9
lähestyy,9
niskaan,9
emmehän,9
kolmen,9
piankin,9
liian,9
kasvonsa,9
leikkiä,9
kotona,9
rauhaa,9
elämämme,9
iltaan,9
voima,9
hiiteen,9
pianpa,9
seuraan,9
astelee,9
hyvän,9
edestä,9
pahaa,9
isän,9
kysymys,9
huomaan,9
sitähän,9
sanaa,9
ihminen,9
puutu,9
ettet,9
loppui,9
rukoile,9
uuden,9
voimallinen,9
aamuna,9
hetkeksi,9
pussi,9
menneenä,9
olihan,9
kitas,9
tehkäät,9
siinäpä,9
onkin,9
ollutkaan,9
toisten,9
hirmuisen,9
nähdä,9
parempi,9
olisimme,9
huolinut,9
henki,9
nähdään,9
puolella,9
syntinen,9
tempasi,9
raskaasti,9
huusivat,9
makasivat,9
miehensä,9
oletko,9
kyllähän,9
tiedon,9
taitaa,9
puoleen,9
elää,9
nälkä,9
asui,9
kunnon,9
verraton,9
miekka,9
vikkelästi,9
hyvästi,9
yhdestä,9
siinähän,9
akkunasta,9
takaa,9
järven,9
paljasta,9
nummi,9
pappi,9
kylästä,9
kylään,9
entistä,9
näkee,9
tulivat,9
mar',9
tahtoi,9
edes,9
uros,9
käyskelivät,9
kovan,9
vallitsi,9
sovinnon,9
hongan,9
synkeä,9
menköön,9
kyösti,9
jykevä,9
viinan,9
viipyi,9
jäljellä,9
kainalossa,9
keino,9
käyskelee,9
kerranpa,9
vuoden,9
kysyä,9
tarkka,9
härjät,9
länteen,9
taivasta,9
taisi,9
suo,9
avara,9
kantain,9
mikään,9
korpeen,9
riensi,9
kääntyi,9
vaipui,9
tultuansa,9
voimme,9
kotoa,9
laitaa,9
saattanut,9
reunalta,9
suomen,9
viertola,9
runsaasti,8
omasta,8
ruumiin,8
paitsi,8
kunnia,8
kohtasi,8
surma,8
tanterella,8
viisikymmentä,8
koetti,8
oiva,8
omaa,8
tapaus,8
yksimielisesti,8
ilmestyi,8
tiedät,8
veikkoseni,8
tulla,8
pane,8
henkemme,8
tehdään,8
kauhistuen,8
kädestä,8
myrsky,8
uhaten,8
päisin,8
paratkoon,8
muistakaamme,8
rakentamaan,8
saakoon,8
omalla,8
kohtuun,8
tullessa,8
toimeen,8
kylläpä,8
jonkun,8
lapsi,8
keikkuu,8
unessa,8
nimittäin,8
isännän,8
kesänä,8
rakas,8
sataa,8
katsella,8
käsi,8
käymme,8
lankesi,8
ensimmäistä,8
kirkon,8
meiltä,8
tänäpänä,8
permantoon,8
tointa,8
hyvät,8
kerro,8
kuoli,8
saimme,8
unta,8
kenkään,8
iloisen,8
aukaisi,8
suu,8
kanssamme,8
kysyin,8
kuulteli,8
allansa,8
tielle,8
molemmilla,8
korvaan,8
onneton,8
aapelin,8
kanssansa,8
alta,8
toukolaiset,8
kaiku,8
puhalteli,8
toukolainen,8
täytyi,8
simeonia,8
laulu,8
kotoisin,8
yötä,8
verrattoman,8
pellolla,8
avulla,8
huikean,8
lukea,8
suostun,8
siivosti,8
hampaat,8
armas,8
kuusien,8
paikassa,8
sehän,8
mäellä,8
huolin,8
olemmehan,8
vuori,8
tietäkäät,8
sunnuntaina,8
tapana,8
nuoren,8
rannalla,8
haastellen,8
pohja,8
niinkin,8
kamoittava,8
nuorten,8
seuraavan,8
tarinan,8
yössä,8
vannon,8
kauhistuksen,8
raskas,8
kannettiin,8
perkele,8
tuhaksi,8
tapahtuva,8
lähenivät,8
pilvet,8
itseksensä,8
toukolaisten,8
löylyä,8
heitti,8
parven,8
ehtinyt,8
kukas,8
uhkaa,8
esimerkiksi,8
katsomaan,8
myöten,8
katsokaas,8
kohdussa,8
yhdessä,8
nahkapeitturi,8
valkoa,8
koettakaamme,8
synkeän,8
harvoin,8
leikin,8
luolan,8
huikeasti,8
pirttimme,8
peikko,8
neito,8
vuoret,8
päätti,8
reunalle,8
syvyyteen,8
vuosi,8
auttakoon,8
laattialle,8
polskaa,8
tiesi,8
veljeänsä,8
pilvien,8
katsahtaen,8
tanterelle,8
käsken,8
pellon,8
tuostapa,8
kanttoori,8
kekkurin,8
kylää,7
vilja,7
peltojen,7
niittu,7
metsiä,7
vertaa,7
nimet,7
kaksoispari,7
yhteisesti,7
tukkansa,7
karhun,7
päivänsä,7
näitä,7
atrian,7
riehui,7
kuulunut,7
etsimään,7
saipa,7
kauemmas,7
kuulivat,7
äänen,7
kuultuansa,7
käski,7
seisahtui,7
härkiä,7
tavallinen,7
perii,7
sanoin,7
silmällä,7
isä,7
härkä,7
sinulla,7
pikkuinen,7
mä,7
ottakaamme,7
rynkäsivät,7
tiensä,7
toimi,7
kiivaan,7
haastelivat,7
keskenänsä,7
järjen,7
kuntoon,7
aamusta,7
tiedämme,7
oikeus,7
parastani,7
tarvitaan,7
pauhu,7
hulluuksia,7
ruokaa,7
kappaleen,7
rakentaa,7
liha,7
takaan,7
soi,7
jonne,7
olikin,7
niinkauan,7
välissä,7
jääköön,7
korvesta,7
pään,7
koskee,7
miellyttää,7
pala,7
armo,7
reunalla,7
saata,7
edessämme,7
kiittäkäämme,7
pilkkaa,7
helvetissä,7
näe,7
tarvitsee,7
voittaa,7
kiitä,7
ellemme,7
juoneen,7
pelkään,7
näkyy,7
haamoitti,7
toivo,7
erällä,7
yönä,7
leimahti,7
näinpä,7
tässäpä,7
sika,7
luoma,7
neitoa,7
suojassa,7
muodolla,7
santa,7
tuollahan,7
tyhmä,7
ahoa,7
kiivas,7
tilassa,7
vettä,7
kissalan,7
miehinä,7
tarpeeksi,7
viha,7
näet,7
rukoilen,7
korvat,7
kylläkin,7
kaatoi,7
tarpeiksi,7
ääntä,7
astunut,7
tunnin,7
enpä,7
luoti,7
auki,7
hirmuisella,7
puitten,7
helmassa,7
alhaalla,7
veitikka,7
kiltti,7
niistä,7
perkeleet,7
veren,7
niskaansa,7
ilves,7
toiselle,7
uskoa,7
taisivat,7
kylmä,7
rakettiin,7
uni,7
yöksi,7
hirveätä,7
kylässä,7
kyöstin,7
ajeli,7
lapsen,7
peijakkaan,7
mielinyt,7
paukahtelivat,7
annappas,7
poloinen,7
valo,7
laatuun,7
nahka,7
heräsivät,7
lausumatta,7
kuolemasta,7
komsarjus,7
pystyyn,7
vakava,7
konstin,7
mustan,7
pistää,7
malta,7
mieles,7
suureksi,7
…,7
uskoon,7
synti,7
tahdonpa,7
lähde,7
sudet,7
parastansa,7
karjan,7
maalla,7
enimmin,7
kontit,7
hedelmiä,7
kyntensä,7
vankkurien,7
korpi,7
retkeilivät,7
rajalla,7
susi,7
muistakaat,7
käyköön,7
jokainen,7
tuoretta,7
kauhistus,7
viimeisen,7
katsahti,7
ruumistansa,7
korvaansa,7
ilon,7
ehti,7
iske,7
kurjan,7
mieheksi,7
kättänsä,7
hirmuista,7
mentyä,7
pyssy,7
neuvoa,7
pirttinsä,7
syytä,7
ralla,7
lämmintä,7
juomaa,7
kaikkialle,7
rientäkäämme,7
liehtoi,7
samassa,7
aita,7
ampui,7
astelemaan,7
kulkea,7
kanget,7
naulaa,7
kannu,7
nimismiehen,7
vakaa,7
äänetön,7
sydämen,7
vaari,7
hallitsi,7
pisti,7
nytkin,7
taidan,7
peitti,7
kesä,7
sydämellä,7
menkäät,7
a,7
kahvia,7
nainen,7
vaimonsa,7
piika,7
tanner,6
ojan,6
kylän,6
oivallisen,6
enemmän,6
huolta,6
jäljet,6
nuorin,6
lyhyt,6
työn,6
käyden,6
vietti,6
saattaen,6
jukolaa,6
täyttivät,6
jalkain,6
eivätpä,6
äitin,6
vihansa,6
asiaan,6
jahtivoudin,6
seuraavalla,6
laulun,6
jahtivouti,6
tulisen,6
jäniksen,6
näistä,6
talvi,6
mars,6
tuommoinen,6
pöytään,6
hirmuisesti,6
päivältä,6
vouti,6
pääse,6
kourasta,6
pauhasi,6
nälän,6
kahteen,6
taistelivat,6
virtasi,6
hyppeli,6
otsa,6
peloittavan,6
antanut,6
sanonpa,6
toivomme,6
kelpaa,6
ohhoo,6
ensi,6
pykälä,6
oikeuden,6
sovinto,6
heittäkäämme,6
kotomme,6
saamme,6
kernaasti,6
salojen,6
neuvo,6
tulevana,6
leivän,6
nurin,6
vastoin,6
miehellensä,6
syö,6
sanoit,6
kappale,6
äläppäs,6
päälleni,6
sieluni,6
entäs,6
muistanpa,6
halko,6
totta,6
oikea,6
pääsi,6
varro,6
jäi,6
kohtaa,6
paatunut,6
sappea,6
itsiämme,6
kiltisti,6
lukemaan,6
kouluun,6
armahtakoon,6
väikkyi,6
akkunan,6
eilen,6
samaa,6
povessa,6
oletpa,6
eli,6
kivistä,6
pussit,6
tainnut,6
ostaa,6
tekemään,6
hätää,6
puhdas,6
terävä,6
sisällä,6
ehtineet,6
vihasta,6
muija,6
avasi,6
kulkivat,6
kuinkahan,6
vieressä,6
pienet,6
tyttöä,6
älköön,6
eeroa,6
kuiva,6
kouraan,6
puhaltaa,6
kuulin,6
vasemmalla,6
haavan,6
mielin,6
tulisella,6
yleinen,6
tuimasti,6
vaipuivat,6
kestäessä,6
pyöriskeli,6
muoto,6
huutaa,6
minulta,6
poikain,6
riivatun,6
lapsia,6
taivaassa,6
perästä,6
hurskas,6
tavallisesti,6
loistaa,6
kuuma,6
pappilan,6
monessa,6
kirjat,6
männyn,6
lukua,6
kiviä,6
kohdassa,6
kauemmin,6
päätetty,6
kitaa,6
tapahtuu,6
toiseksi,6
perkeleen,6
liikkeille,6
huuteli,6
kivisen,6
harjulle,6
kirkkaan,6
täys,6
ystävät,6
